"Theoretical.MW";"Structure0";"Structure";"unsatUA";"GlcA";"GlcN";"Ac";"SO3";"anhydro";"Adductive";"Man";"dp";"isotopic.peak"
1835.20843;"[0,4,4,2,5,1,]-[0]";"[4,4,2,5,1]";0;4;4;2;5;0;0;1;8;1
1915.16524;"[0,4,4,2,6,1,]-[0]";"[4,4,2,6,1]";0;4;4;2;6;0;0;1;8;1
1995.12205;"[0,4,4,2,7,1,]-[0]";"[4,4,2,7,1]";0;4;4;2;7;0;0;1;8;1
2075.07886;"[0,4,4,2,8,1,]-[0]";"[4,4,2,8,1]";0;4;4;2;8;0;0;1;8;1
2155.03567;"[0,4,4,2,9,1,]-[0]";"[4,4,2,9,1]";0;4;4;2;9;0;0;1;8;1
2234.99248;"[0,4,4,2,10,1,]-[0]";"[4,4,2,10,1]";0;4;4;2;10;0;0;1;8;1
2314.94929;"[0,4,4,2,11,1,]-[0]";"[4,4,2,11,1]";0;4;4;2;11;0;0;1;8;1
1717.30537;"[0,4,4,3,3,1,]-[0]";"[4,4,3,3,1]";0;4;4;3;3;0;0;1;8;1
1797.26218;"[0,4,4,3,4,1,]-[0]";"[4,4,3,4,1]";0;4;4;3;4;0;0;1;8;1
1877.21899;"[0,4,4,3,5,1,]-[0]";"[4,4,3,5,1]";0;4;4;3;5;0;0;1;8;1
1957.1758;"[0,4,4,3,6,1,]-[0]";"[4,4,3,6,1]";0;4;4;3;6;0;0;1;8;1
2037.13261;"[0,4,4,3,7,1,]-[0]";"[4,4,3,7,1]";0;4;4;3;7;0;0;1;8;1
2117.08942;"[0,4,4,3,8,1,]-[0]";"[4,4,3,8,1]";0;4;4;3;8;0;0;1;8;1
2197.04623;"[0,4,4,3,9,1,]-[0]";"[4,4,3,9,1]";0;4;4;3;9;0;0;1;8;1
2277.00304;"[0,4,4,3,10,1,]-[0]";"[4,4,3,10,1]";0;4;4;3;10;0;0;1;8;1
1752.3425;"[0,4,5,0,3,1,]-[0]";"[4,5,0,3,1]";0;4;5;0;3;0;0;1;9;1
1832.29931;"[0,4,5,0,4,1,]-[0]";"[4,5,0,4,1]";0;4;5;0;4;0;0;1;9;1
1912.25612;"[0,4,5,0,5,1,]-[0]";"[4,5,0,5,1]";0;4;5;0;5;0;0;1;9;1
1992.21293;"[0,4,5,0,6,1,]-[0]";"[4,5,0,6,1]";0;4;5;0;6;0;0;1;9;1
2072.16974;"[0,4,5,0,7,1,]-[0]";"[4,5,0,7,1]";0;4;5;0;7;0;0;1;9;1
2152.12655;"[0,4,5,0,8,1,]-[0]";"[4,5,0,8,1]";0;4;5;0;8;0;0;1;9;1
2232.08336;"[0,4,5,0,9,1,]-[0]";"[4,5,0,9,1]";0;4;5;0;9;0;0;1;9;1
2312.04017;"[0,4,5,0,10,1,]-[0]";"[4,5,0,10,1]";0;4;5;0;10;0;0;1;9;1
2391.99698;"[0,4,5,0,11,1,]-[0]";"[4,5,0,11,1]";0;4;5;0;11;0;0;1;9;1
2471.95379;"[0,4,5,0,12,1,]-[0]";"[4,5,0,12,1]";0;4;5;0;12;0;0;1;9;1
2551.9106;"[0,4,5,0,13,1,]-[0]";"[4,5,0,13,1]";0;4;5;0;13;0;0;1;9;1
2631.86741;"[0,4,5,0,14,1,]-[0]";"[4,5,0,14,1]";0;4;5;0;14;0;0;1;9;1
2711.82422;"[0,4,5,0,15,1,]-[0]";"[4,5,0,15,1]";0;4;5;0;15;0;0;1;9;1
1794.35306;"[0,4,5,1,3,1,]-[0]";"[4,5,1,3,1]";0;4;5;1;3;0;0;1;9;1
1874.30987;"[0,4,5,1,4,1,]-[0]";"[4,5,1,4,1]";0;4;5;1;4;0;0;1;9;1
1954.26668;"[0,4,5,1,5,1,]-[0]";"[4,5,1,5,1]";0;4;5;1;5;0;0;1;9;1
2034.22349;"[0,4,5,1,6,1,]-[0]";"[4,5,1,6,1]";0;4;5;1;6;0;0;1;9;1
2114.1803;"[0,4,5,1,7,1,]-[0]";"[4,5,1,7,1]";0;4;5;1;7;0;0;1;9;1
2194.13711;"[0,4,5,1,8,1,]-[0]";"[4,5,1,8,1]";0;4;5;1;8;0;0;1;9;1
2274.09392;"[0,4,5,1,9,1,]-[0]";"[4,5,1,9,1]";0;4;5;1;9;0;0;1;9;1
2354.05073;"[0,4,5,1,10,1,]-[0]";"[4,5,1,10,1]";0;4;5;1;10;0;0;1;9;1
2434.00754;"[0,4,5,1,11,1,]-[0]";"[4,5,1,11,1]";0;4;5;1;11;0;0;1;9;1
2513.96435;"[0,4,5,1,12,1,]-[0]";"[4,5,1,12,1]";0;4;5;1;12;0;0;1;9;1
2593.92116;"[0,4,5,1,13,1,]-[0]";"[4,5,1,13,1]";0;4;5;1;13;0;0;1;9;1
2673.87797;"[0,4,5,1,14,1,]-[0]";"[4,5,1,14,1]";0;4;5;1;14;0;0;1;9;1
1836.36362;"[0,4,5,2,3,1,]-[0]";"[4,5,2,3,1]";0;4;5;2;3;0;0;1;9;1
1916.32043;"[0,4,5,2,4,1,]-[0]";"[4,5,2,4,1]";0;4;5;2;4;0;0;1;9;1
1996.27724;"[0,4,5,2,5,1,]-[0]";"[4,5,2,5,1]";0;4;5;2;5;0;0;1;9;1
2076.23405;"[0,4,5,2,6,1,]-[0]";"[4,5,2,6,1]";0;4;5;2;6;0;0;1;9;1
2156.19086;"[0,4,5,2,7,1,]-[0]";"[4,5,2,7,1]";0;4;5;2;7;0;0;1;9;1
2236.14767;"[0,4,5,2,8,1,]-[0]";"[4,5,2,8,1]";0;4;5;2;8;0;0;1;9;1
2316.10448;"[0,4,5,2,9,1,]-[0]";"[4,5,2,9,1]";0;4;5;2;9;0;0;1;9;1
2396.06129;"[0,4,5,2,10,1,]-[0]";"[4,5,2,10,1]";0;4;5;2;10;0;0;1;9;1
2476.0181;"[0,4,5,2,11,1,]-[0]";"[4,5,2,11,1]";0;4;5;2;11;0;0;1;9;1
2555.97491;"[0,4,5,2,12,1,]-[0]";"[4,5,2,12,1]";0;4;5;2;12;0;0;1;9;1
2635.93172;"[0,4,5,2,13,1,]-[0]";"[4,5,2,13,1]";0;4;5;2;13;0;0;1;9;1
